Transaction date,opening,highest,lowest,current,amount
20160922_,9835,9845,9720,9815,7849515
20160923_,9755,9840,9755,9820,9775392
20160926_,9840,9910,9735,9875,10065403
20160927_,9975,10040,9705,9745,15822705
20160928_,9765,9820,9745,9805,9475753
20160929_,9715,9720,9605,9645,9725916
20160930_,9795,9880,9755,9880,12151613
20161004_,9760,9800,9700,9760,7358501
20161005_,9885,9945,9720,9760,10007241
20161006_,9615,9720,9595,9635,10405677
20161007_,9645,9700,9610,9690,10587998
20161010_,9750,9840,9640,9655,11540588
20161011_,9700,9955,9645,9950,19977620
20161012_,10050,10070,9915,9945,15390095
20161013_,9995,10170,9960,10135,19273750
20161014_,10090,10090,9980,10035,11496253
20161017_,10020,10175,9935,10000,16528858
20161018_,9995,9995,9845,9855,10950689
20161019_,9890,9915,9740,9835,9712715
20161020_,9810,9830,9740,9825,9727336
20161021_,9830,9925,9795,9900,12801185
20161024_,9835,9835,9740,9755,12314372
20161025_,9785,9900,9755,9800,9125334
20161026_,9870,10125,9870,10040,13485491
20161027_,9975,10010,9920,9950,9859226
20161028_,9985,9990,9885,9935,9615465
20161031_,10035,10065,9930,9985,11034711
20161101_,9995,10175,9970,9985,13449905
20161102_,10135,10250,10090,10245,12990115
20161103_,10265,10310,10160,10190,10829748
20161104_,10235,10295,10195,10250,10164511
20161107_,10045,10125,10010,10065,8924912
20161108_,9980,10120,9970,10025,8381472
20161109_,9960,10710,9890,10460,36018301
20161110_,10140,10205,10000,10030,17215972
20161111_,10165,10260,10125,10225,11556020
20161114_,10270,10410,10220,10385,11077374
20161115_,10415,10465,10335,10465,9628960
20161116_,10350,10405,10305,10385,6963322
20161117_,10445,10535,10375,10400,10040404
20161118_,10360,10490,10355,10400,7494047
20161121_,10455,10500,10380,10465,7644094
20161122_,10385,10385,10185,10220,11642468
20161123_,10200,10245,10060,10135,8374247
20161124_,10165,10295,10125,10245,10069297
20161125_,10205,10275,10190,10235,6103415
20161128_,10240,10365,10155,10175,8977112
20161129_,10195,10225,10140,10180,8739081
20161130_,10190,10190,10040,10075,10900946
20161201_,10065,10120,10030,10065,6624140
20161202_,10150,10245,10110,10205,9827227
20161205_,10280,10310,10195,10230,8802762
20161206_,10100,10100,9945,9990,12391026
20161207_,9945,9970,9900,9930,6001676
20161208_,9765,9770,9600,9640,12992490
20161209_,9600,9630,9550,9570,5828315
20161212_,9490,9635,9490,9585,6801943
20161213_,9585,9605,9530,9540,5465437
20161214_,9465,9540,9415,9515,6796061
20161215_,9645,9665,9490,9520,7909583
20161216_,9555,9575,9470,9485,5198251
20161219_,9530,9535,9450,9485,4182999
20161220_,9465,9480,9420,9445,4420331
20161221_,9400,9475,9340,9475,7028278
20161222_,9450,9495,9435,9485,5075517
20161223_,9495,9520,9475,9500,4729934
20161226_,9490,9515,9475,9485,2978736
20161227_,9485,9485,9445,9470,2888508
20161228_,9420,9420,9355,9390,4996271
20161229_,9420,9460,9385,9390,3607927
20170102_,9405,9460,9275,9335,5195760
20170103_,9275,9305,9185,9190,6424138
20170104_,9190,9205,9155,9170,3558572
20170105_,9190,9230,9170,9230,3769974
20170106_,9195,9195,9115,9150,4846564
20170109_,9130,9145,9080,9110,3708572
20170110_,9175,9180,9105,9135,4759668
20170111_,9110,9110,8740,8790,14340434
20170112_,8785,8800,8720,8760,8278871
20170113_,8795,8805,8755,8800,4245290
20170116_,8810,8945,8770,8905,8223238
20170117_,8880,8880,8765,8840,6154787
20170118_,8835,8965,8785,8840,7871432
20170119_,8750,8915,8660,8835,9558992
20170120_,8890,8905,8840,8865,4715812
20170123_,8890,8980,8810,8870,6310200
20170124_,8840,8905,8780,8865,6293767
20170125_,8755,8865,8745,8810,5445501
20170126_,8745,8790,8615,8660,8755372
20170131_,8715,8770,8690,8770,10454893
20170201_,8725,8740,8685,8700,4326203
20170202_,8705,8795,8605,8775,6512673
20170203_,8725,8840,8710,8760,6179579
20170206_,8625,8755,8595,8725,5928088
20170207_,8705,8775,8700,8750,5537304
