Transaction time,opening,highest,lowest,current,amount
202004210900_,7040,7050,7030,7035,3801590
202004210901_,7030,7060,7020,7035,3136402
202004210902_,7035,7045,7030,7035,996516
202004210903_,7030,7055,7030,7050,1388071
202004210904_,7050,7060,7040,7045,1370122
202004210905_,7045,7075,7035,7075,1334146
202004210906_,7075,7090,7070,7090,1246268
202004210907_,7090,7105,7080,7085,1790697
202004210908_,7085,7090,7060,7070,1412460
202004210909_,7070,7070,7050,7060,1035391
202004210910_,7060,7070,7045,7060,897355
202004210911_,7065,7080,7060,7075,761203
202004210912_,7075,7090,7065,7070,1089046
202004210913_,7065,7075,7055,7055,660706
202004210914_,7055,7085,7055,7080,666476
202004210915_,7080,7120,7080,7115,1598358
202004210916_,7115,7120,7100,7115,1164491
202004210917_,7115,7130,7115,7130,1766977
202004210918_,7125,7140,7120,7120,1449869
202004210919_,7120,7125,7110,7115,1159136
202004210920_,7115,7145,7115,7140,1266509
202004210921_,7140,7145,7125,7135,1088038
202004210922_,7135,7135,7115,7115,1066103
202004210923_,7115,7125,7110,7115,573485
202004210924_,7120,7120,7095,7100,1080812
202004210925_,7100,7110,7095,7105,550467
202004210926_,7100,7110,7095,7100,653083
202004210927_,7105,7105,7085,7090,973761
202004210928_,7090,7110,7085,7105,724783
202004210929_,7100,7110,7090,7095,701807
202004210930_,7095,7095,7080,7090,581009
202004210931_,7090,7095,7080,7090,550300
202004210932_,7090,7095,7080,7085,321466
202004210933_,7080,7085,7070,7070,687614
202004210934_,7070,7075,7060,7075,874137
202004210935_,7070,7080,7065,7075,549549
202004210936_,7070,7075,7060,7065,679737
202004210937_,7065,7065,7045,7050,1415969
202004210938_,7050,7065,7040,7060,927074
202004210939_,7060,7070,7050,7065,596085
202004210940_,7070,7075,7060,7070,752387
202004210941_,7070,7070,7050,7055,553794
202004210942_,7055,7070,7050,7070,608060
202004210943_,7065,7070,7060,7065,401087
202004210944_,7065,7070,7055,7060,208816
202004210945_,7060,7065,7050,7055,343981
202004210946_,7055,7060,7035,7035,824867
202004210947_,7035,7040,7020,7020,931396
202004210948_,7020,7025,7010,7020,1043995
202004210949_,7020,7030,7010,7020,736371
202004210950_,7025,7030,7020,7030,476734
202004210951_,7025,7040,7025,7040,395005
202004210952_,7040,7045,7035,7035,476287
202004210953_,7040,7045,7035,7040,232312
202004210954_,7040,7045,7030,7035,448774
202004210955_,7035,7050,7035,7040,361494
202004210956_,7040,7040,7025,7040,433829
202004210957_,7040,7055,7040,7055,508765
202004210958_,7055,7070,7050,7065,653328
202004210959_,7060,7065,7055,7055,603827
202004211000_,7050,7055,7035,7040,842841
202004211001_,7040,7050,7035,7045,240400
202004211002_,7040,7045,7025,7030,447708
202004211003_,7030,7030,7025,7025,397542
202004211004_,7025,7035,7025,7035,328202
202004211005_,7035,7040,7030,7040,180331
202004211006_,7040,7055,7035,7050,318222
202004211007_,7050,7055,7045,7050,276432
202004211008_,7050,7055,7045,7050,276451
202004211009_,7050,7060,7045,7050,462231
202004211010_,7045,7050,7040,7045,359898
202004211011_,7040,7055,7035,7035,262775
202004211012_,7040,7045,7030,7040,268363
202004211013_,7040,7050,7035,7050,300204
202004211014_,7050,7060,7045,7055,326732
202004211015_,7060,7070,7050,7055,713450
202004211016_,7055,7060,7045,7055,334103
202004211017_,7050,7060,7045,7055,192490
202004211018_,7050,7050,7030,7030,532287
202004211019_,7035,7035,7015,7020,685584
202004211020_,7025,7025,7005,7010,1067424
202004211021_,7005,7010,6995,7000,1232413
202004211022_,6995,7000,6990,7000,730571
202004211023_,7000,7010,6995,7000,793260
202004211024_,7005,7005,6990,7000,491190
202004211025_,7005,7005,6990,7000,305557
202004211026_,7000,7010,7000,7010,354344
202004211027_,7005,7010,6995,7000,667124
202004211028_,7000,7005,6995,6995,339355
202004211029_,7000,7000,6990,6995,377386
202004211030_,6995,6995,6975,6980,923357
202004211031_,6975,6985,6960,6980,1142249
202004211032_,6975,6995,6975,6990,794609
202004211033_,6990,6995,6985,6990,370182
202004211034_,6990,6995,6975,6980,488912
202004211035_,6980,6990,6980,6980,203743
202004211036_,6985,6990,6980,6985,529813
202004211037_,6985,6990,6970,6980,618275
202004211038_,6975,7000,6975,7000,417143
202004211039_,6995,7005,6995,7005,820817
202004211040_,7005,7020,7000,7020,732879
202004211041_,7020,7020,7005,7015,539889
202004211042_,7015,7025,7010,7015,507463
202004211043_,7015,7045,7015,7035,1366478
202004211044_,7035,7060,7035,7060,2481708
202004211045_,7060,7095,7055,7080,2601273
202004211046_,7075,7090,7070,7090,1362500
202004211047_,7090,7135,7085,7115,3043552
202004211048_,7115,7165,7115,7160,4660101
202004211049_,7165,7180,7120,7130,3086741
202004211050_,7130,7165,7130,7160,3193199
202004211051_,7165,7205,7160,7205,2344314
202004211052_,7200,7225,7190,7195,3773893
202004211053_,7195,7210,7110,7120,3448901
202004211054_,7125,7155,7110,7115,2847968
202004211055_,7115,7155,7110,7155,2438607
202004211056_,7155,7165,7130,7150,1935985
202004211057_,7155,7185,7150,7180,1572173
202004211058_,7185,7230,7180,7200,4597932
202004211059_,7200,7210,7160,7185,2447903
202004211100_,7190,7210,7170,7170,2191464
202004211101_,7175,7175,7130,7175,1785955
202004211102_,7170,7180,7150,7175,1411914
202004211103_,7175,7190,7160,7185,1813373
202004211104_,7180,7210,7180,7200,2359242
202004211105_,7205,7260,7200,7245,5648045
202004211106_,7250,7285,7245,7280,3533899
202004211107_,7280,7315,7270,7315,4131990
202004211108_,7315,7325,7250,7260,4107592
202004211109_,7260,7285,7250,7260,3345977
202004211110_,7260,7280,7200,7205,4014728
202004211111_,7205,7220,7180,7180,3046107
202004211112_,7180,7195,7170,7190,2904269
202004211113_,7185,7190,7115,7120,3693052
202004211114_,7120,7165,7115,7165,1872276
202004211115_,7165,7185,7155,7160,3069400
202004211116_,7160,7190,7150,7180,1550574
202004211117_,7185,7210,7185,7200,1977489
202004211118_,7195,7210,7175,7180,1587888
202004211119_,7180,7180,7160,7175,1390498
202004211120_,7175,7200,7170,7200,1218484
202004211121_,7200,7205,7180,7195,1081339
202004211122_,7195,7220,7175,7210,1896819
202004211123_,7210,7220,7200,7210,1549298
202004211124_,7210,7250,7205,7240,1875622
202004211125_,7240,7245,7205,7210,1685494
202004211126_,7210,7270,7205,7265,2052471
202004211127_,7265,7280,7250,7280,2676449
202004211128_,7280,7295,7275,7295,2222451
202004211129_,7295,7295,7245,7265,2364195
202004211130_,7260,7280,7255,7270,1798368
202004211131_,7270,7280,7250,7255,1426642
202004211132_,7260,7260,7240,7250,1202940
202004211133_,7245,7280,7245,7275,1133372
202004211134_,7275,7280,7250,7260,874673
202004211135_,7260,7265,7240,7260,1619114
202004211136_,7260,7280,7255,7270,1602742
202004211137_,7270,7300,7265,7290,2125886
202004211138_,7290,7305,7280,7280,2568167
202004211139_,7290,7315,7285,7290,1626039
202004211140_,7295,7310,7285,7300,1051614
202004211141_,7305,7310,7290,7305,1407810
202004211142_,7310,7345,7305,7335,2571205
202004211143_,7335,7340,7310,7315,1942565
202004211144_,7315,7325,7280,7290,1967480
202004211145_,7290,7295,7245,7245,2171382
202004211146_,7245,7260,7230,7250,1746162
202004211147_,7255,7255,7210,7210,2752178
202004211148_,7210,7215,7180,7185,2544439
202004211149_,7185,7205,7170,7170,1902948
202004211150_,7170,7180,7150,7180,2185615
202004211151_,7175,7195,7170,7190,1703293
202004211152_,7190,7205,7180,7200,1328881
202004211153_,7205,7230,7195,7220,1261015
