Transaction date,opening,highest,lowest,current,amount
20100222_,10010,10275,10010,10165,125001
20100223_,10165,10215,10025,10165,261358
20100224_,10060,10060,9865,9935,465118
20100225_,10050,10050,9545,9605,971853
20100226_,9655,9745,9585,9675,483447
20100302_,9855,10025,9845,9970,816285
20100303_,9975,10030,9935,10000,409382
20100304_,10010,10150,9925,9980,415601
20100305_,10015,10245,10015,10245,413305
20100308_,10450,10605,10450,10605,523893
20100309_,10575,10580,10515,10555,395700
20100310_,10605,10605,10475,10540,595403
20100311_,10600,10665,10465,10475,549665
20100312_,10570,10620,10420,10525,583673
20100315_,10550,10580,10220,10315,955705
20100316_,10355,10395,10245,10340,447756
20100317_,10450,10785,10450,10780,683255
20100318_,10680,10825,10650,10675,840897
20100319_,10760,10850,10680,10825,797673
20100322_,10745,10745,10465,10580,1254493
20100323_,10670,10840,10670,10765,599310
20100324_,10965,10965,10720,10765,1003363
20100325_,10765,10860,10740,10835,708843
20100326_,10840,10935,10685,10900,955701
20100329_,10740,10970,10735,10850,840254
20100330_,10975,11000,10930,10980,707185
20100331_,10985,11005,10855,10885,656581
20100401_,10890,11290,10890,11245,872533
20100402_,11310,11375,11230,11370,855473
20100405_,11485,11485,11330,11485,827242
20100406_,11515,11560,11415,11480,744603
20100407_,11480,11535,11450,11455,615961
20100408_,11390,11545,11380,11495,968367
20100409_,11505,11550,11195,11400,1629813
20100412_,11460,11520,11105,11210,1960438
20100413_,11245,11270,11030,11175,1739466
20100414_,11230,11545,11225,11510,1969678
20100415_,11650,11655,11460,11575,1699393
20100416_,11520,11555,11280,11410,1805478
20100419_,11180,11290,10985,11020,1963118
20100420_,11120,11225,11070,11165,1392466
20100421_,11250,11600,11250,11550,1750223
20100422_,11500,11500,11265,11410,1321044
20100423_,11500,11520,11335,11385,1514035
20100426_,11550,11750,11505,11630,1507517
20100427_,11630,11650,11515,11605,1076457
20100428_,11280,11315,11115,11300,2015047
20100429_,11370,11380,11160,11295,1505462
20100430_,11400,11525,11400,11455,1609796
20100503_,11385,11455,11100,11140,1999341
20100504_,11260,11305,11050,11115,1865322
20100506_,10660,11095,10565,10620,2407801
20100507_,10130,10285,9905,10135,3318924
20100510_,10240,10525,10215,10500,1953207
20100511_,10750,10755,10325,10355,2834261
20100512_,10445,10590,10310,10310,1891276
20100513_,10510,10800,10510,10695,1743660
20100514_,10580,10780,10420,10685,1659526
20100517_,10425,10425,10090,10160,2988649
20100518_,10235,10285,9970,10095,2712558
20100519_,9965,9970,9630,9845,4025330
20100520_,9745,9955,9465,9565,2809296
20100524_,9400,9755,9400,9635,2585186
20100525_,9485,9485,8975,9120,5817346
20100526_,9240,9420,9060,9250,3830423
20100527_,9140,9620,9100,9570,3424662
20100528_,9765,9820,9615,9800,3557822
20100531_,9730,9975,9715,9950,3062322
20100601_,9890,9995,9850,9890,2515831
20100603_,10015,10375,9980,10340,2328654
20100604_,10365,10400,10260,10360,2125914
20100607_,9920,10030,9795,10005,3179127
20100608_,9970,10265,9880,10205,3153983
20100609_,10225,10240,10020,10090,2648229
20100610_,10120,10310,10025,10200,3084847
20100611_,10425,10550,10315,10500,3503401
20100614_,10605,10845,10580,10720,2457916
20100615_,10750,10825,10620,10740,2033721
20100616_,11010,11010,10820,10900,2659246
20100617_,10905,10975,10865,10905,1500339
20100618_,10925,10970,10850,10930,1939285
20100621_,11100,11360,11090,11295,3515036
20100622_,11210,11230,11110,11180,1698592
20100623_,11020,11200,11020,11075,1985684
20100624_,11095,11300,11030,11225,1839712
20100625_,11055,11160,10975,11060,2628016
20100628_,11140,11165,11010,11115,1740961
