Transaction time,opening,highest,lowest,current,amount
202005280900_,11295,11320,11290,11305,1722654
202005280901_,11310,11335,11305,11315,887100
202005280902_,11310,11330,11310,11315,605261
202005280903_,11320,11320,11285,11290,469750
202005280904_,11290,11295,11260,11275,764303
202005280905_,11275,11285,11260,11280,534515
202005280906_,11280,11305,11275,11295,482049
202005280907_,11295,11310,11290,11300,341384
202005280908_,11300,11305,11290,11290,209887
202005280909_,11295,11295,11280,11285,296311
202005280910_,11290,11300,11280,11295,189550
202005280911_,11295,11305,11295,11300,184736
202005280912_,11300,11310,11295,11305,286274
202005280913_,11305,11310,11295,11300,310714
202005280914_,11300,11300,11275,11280,269357
202005280915_,11275,11300,11275,11295,260465
202005280916_,11295,11315,11295,11310,800264
202005280917_,11310,11340,11310,11335,586622
202005280918_,11335,11350,11335,11340,456677
202005280919_,11340,11350,11335,11350,299041
202005280920_,11350,11350,11330,11330,298948
202005280921_,11330,11335,11315,11320,315330
202005280922_,11325,11345,11320,11340,228889
202005280923_,11345,11345,11335,11340,151963
202005280924_,11340,11345,11330,11340,167798
202005280925_,11345,11345,11320,11325,104965
202005280926_,11320,11325,11300,11300,381225
202005280927_,11300,11325,11300,11320,197660
202005280928_,11320,11330,11310,11330,218913
202005280929_,11330,11345,11330,11335,290939
202005280930_,11335,11340,11325,11330,218685
202005280931_,11330,11340,11325,11335,148288
202005280932_,11335,11345,11335,11345,256963
202005280933_,11345,11350,11330,11340,377214
202005280934_,11340,11340,11305,11310,459704
202005280935_,11310,11335,11305,11335,226150
202005280936_,11330,11335,11315,11320,143282
202005280937_,11320,11320,11300,11310,214692
202005280938_,11310,11315,11300,11310,139084
202005280939_,11305,11320,11300,11305,86474
202005280940_,11310,11315,11305,11310,134322
202005280941_,11310,11325,11310,11325,73525
202005280942_,11325,11330,11315,11320,129894
202005280943_,11325,11330,11320,11320,101834
202005280944_,11320,11330,11315,11325,245611
202005280945_,11325,11330,11315,11325,106241
202005280946_,11330,11330,11320,11330,150541
202005280947_,11325,11335,11325,11330,128065
202005280948_,11330,11360,11325,11355,842536
202005280949_,11355,11400,11355,11395,799616
202005280950_,11395,11400,11385,11395,462782
202005280951_,11395,11405,11390,11405,652820
202005280952_,11405,11420,11400,11420,366649
202005280953_,11420,11420,11410,11415,447873
202005280954_,11410,11420,11405,11405,290385
202005280955_,11410,11415,11400,11415,305261
202005280956_,11415,11425,11400,11410,639234
202005280957_,11410,11415,11390,11390,305260
202005280958_,11390,11400,11385,11385,212116
202005280959_,11385,11390,11380,11385,215664
202005281000_,11385,11400,11375,11400,195644
202005281001_,11400,11405,11385,11390,305768
202005281002_,11385,11390,11360,11365,450015
202005281003_,11365,11375,11350,11370,229854
202005281004_,11370,11375,11365,11370,114608
202005281005_,11370,11370,11350,11365,346961
202005281006_,11365,11370,11355,11370,174783
202005281007_,11370,11380,11370,11380,178466
202005281008_,11375,11385,11375,11375,108778
202005281009_,11375,11395,11375,11395,133860
202005281010_,11390,11395,11370,11370,262584
202005281011_,11375,11375,11345,11350,392614
202005281012_,11350,11360,11350,11350,86359
202005281013_,11355,11355,11330,11335,367659
202005281014_,11330,11335,11320,11325,252469
202005281015_,11325,11325,11300,11315,717677
202005281016_,11315,11320,11300,11300,361836
202005281017_,11305,11305,11285,11290,668613
202005281018_,11295,11295,11280,11290,936198
202005281019_,11290,11310,11290,11310,217080
202005281020_,11310,11315,11300,11310,256164
202005281021_,11310,11315,11300,11305,226741
202005281022_,11305,11315,11300,11300,173394
202005281023_,11300,11315,11300,11315,99758
202005281024_,11315,11325,11310,11310,159082
202005281025_,11310,11320,11310,11315,150033
202005281026_,11315,11320,11300,11300,112119
202005281027_,11305,11315,11300,11300,191004
202005281028_,11295,11315,11295,11315,172151
202005281029_,11315,11330,11315,11330,175195
202005281030_,11325,11330,11320,11325,150938
202005281031_,11330,11360,11325,11355,453281
202005281032_,11355,11365,11355,11360,402295
202005281033_,11360,11390,11355,11380,631215
202005281034_,11385,11385,11365,11370,378219
202005281035_,11370,11385,11370,11380,378288
202005281036_,11380,11385,11360,11365,257521
202005281037_,11365,11380,11360,11360,369540
202005281038_,11365,11365,11350,11355,354825
202005281039_,11355,11365,11350,11360,163270
202005281040_,11360,11360,11345,11350,213640
202005281041_,11355,11380,11350,11375,190625
202005281042_,11375,11375,11355,11360,238972
202005281043_,11365,11375,11355,11375,115398
202005281044_,11370,11385,11370,11385,315755
202005281045_,11385,11385,11365,11370,160862
202005281046_,11370,11375,11365,11375,71599
202005281047_,11370,11375,11365,11365,222385
202005281048_,11365,11375,11360,11360,194683
202005281049_,11365,11375,11360,11365,106768
202005281050_,11365,11395,11365,11390,503184
202005281051_,11395,11400,11385,11385,486571
202005281052_,11385,11395,11385,11390,241854
202005281053_,11390,11405,11385,11395,436223
202005281054_,11400,11405,11395,11400,240352
202005281055_,11400,11410,11400,11405,195758
202005281056_,11405,11410,11400,11405,227513
202005281057_,11400,11405,11385,11390,242061
202005281058_,11390,11395,11375,11380,143512
202005281059_,11380,11385,11370,11375,195248
202005281100_,11375,11375,11355,11365,197808
202005281101_,11365,11375,11355,11375,169409
202005281102_,11375,11375,11365,11375,71739
202005281103_,11370,11385,11365,11380,122095
202005281104_,11380,11385,11365,11380,201388
202005281105_,11380,11385,11370,11380,111533
202005281106_,11380,11385,11370,11375,120957
202005281107_,11375,11380,11365,11370,184504
202005281108_,11365,11380,11365,11370,163041
202005281109_,11370,11380,11365,11375,46680
202005281110_,11370,11380,11370,11375,55058
202005281111_,11375,11380,11370,11375,53232
202005281112_,11380,11390,11380,11390,192471
202005281113_,11390,11395,11375,11380,366894
202005281114_,11385,11385,11375,11380,81444
202005281115_,11380,11385,11375,11380,90281
202005281116_,11385,11390,11380,11385,298613
202005281117_,11385,11385,11365,11370,270178
202005281118_,11370,11390,11365,11385,228856
202005281119_,11380,11395,11380,11390,57151
202005281120_,11390,11390,11380,11385,95230
202005281121_,11385,11390,11375,11380,81939
202005281122_,11380,11380,11360,11375,241637
202005281123_,11370,11375,11360,11365,169701
202005281124_,11370,11370,11355,11365,203770
202005281125_,11365,11365,11360,11365,23283
202005281126_,11360,11370,11355,11360,189569
202005281127_,11360,11365,11350,11360,323042
202005281128_,11360,11365,11355,11365,72982
202005281129_,11360,11365,11350,11360,94489
202005281130_,11350,11355,11340,11350,424715
202005281131_,11345,11355,11345,11355,102396
202005281132_,11355,11360,11345,11350,197485
202005281133_,11350,11350,11340,11345,48867
202005281134_,11340,11350,11335,11335,199094
202005281135_,11335,11355,11335,11350,64996
202005281136_,11355,11355,11350,11350,93758
202005281137_,11350,11350,11340,11350,153496
202005281138_,11350,11355,11345,11345,34314
202005281139_,11345,11345,11335,11335,233983
202005281140_,11335,11345,11335,11340,207481
202005281141_,11335,11345,11330,11330,86484
202005281142_,11335,11340,11330,11340,58896
202005281143_,11345,11350,11340,11345,79765
202005281144_,11345,11350,11335,11340,214387
202005281145_,11340,11345,11325,11340,171034
202005281146_,11335,11345,11330,11335,149498
202005281147_,11340,11340,11325,11325,291184
202005281148_,11325,11335,11315,11325,429908
202005281149_,11330,11330,11320,11325,111907
202005281150_,11325,11330,11315,11320,585030
202005281151_,11320,11320,11315,11315,70256
202005281152_,11310,11315,11305,11310,416411
202005281153_,11315,11315,11305,11305,69607
202005281154_,11310,11310,11295,11305,373725
202005281155_,11305,11320,11305,11315,299541
202005281156_,11315,11325,11315,11320,150199
202005281157_,11320,11325,11310,11315,314053
202005281158_,11310,11320,11310,11315,141144
202005281159_,11315,11315,11300,11305,159670
202005281200_,11305,11305,11285,11290,279851
202005281201_,11290,11295,11280,11285,548139
202005281202_,11285,11295,11280,11290,281854
202005281203_,11290,11300,11280,11295,215650
202005281204_,11295,11295,11280,11285,178940
202005281205_,11285,11295,11280,11290,351735
202005281206_,11290,11290,11275,11285,482532
202005281207_,11280,11280,11255,11265,486954
202005281208_,11265,11285,11250,11285,391380
202005281209_,11285,11295,11280,11295,129259
202005281210_,11290,11290,11280,11285,107423
202005281211_,11285,11285,11265,11270,132783
202005281212_,11275,11280,11265,11280,157655
202005281213_,11280,11290,11275,11285,143143
202005281214_,11285,11285,11275,11280,94213
202005281215_,11285,11290,11275,11285,292408
202005281216_,11285,11290,11275,11285,139519
202005281217_,11285,11290,11280,11285,188604
202005281218_,11290,11290,11275,11280,170247
202005281219_,11280,11280,11265,11270,211466
202005281220_,11270,11290,11270,11285,158887
202005281221_,11285,11290,11280,11285,109099
202005281222_,11285,11285,11270,11275,55978
202005281223_,11270,11270,11245,11245,346169
202005281224_,11245,11245,11230,11235,358114
202005281225_,11235,11245,11230,11240,143769
202005281226_,11240,11255,11235,11250,210087
202005281227_,11250,11250,11235,11240,107552
202005281228_,11235,11240,11225,11225,124470
202005281229_,11225,11235,11220,11230,163251
202005281230_,11225,11230,11210,11220,323576
202005281231_,11225,11235,11220,11220,149798
202005281232_,11220,11220,11190,11195,333852
202005281233_,11190,11195,11170,11170,461957
202005281234_,11170,11170,11125,11130,537144
202005281235_,11125,11150,11120,11125,333248
202005281236_,11125,11125,11060,11065,556007
202005281237_,11060,11120,11055,11115,697504
202005281238_,11115,11120,11105,11115,336953
202005281239_,11115,11125,11095,11100,338689
202005281240_,11100,11120,11085,11115,233112
202005281241_,11120,11130,11115,11130,252785
202005281242_,11130,11140,11125,11140,469432
202005281243_,11140,11160,11135,11155,398905
202005281244_,11155,11170,11150,11165,418745
202005281245_,11165,11170,11140,11150,414217
202005281246_,11155,11175,11155,11165,328120
202005281247_,11160,11165,11140,11145,138988
202005281248_,11150,11150,11135,11140,290996
202005281249_,11140,11150,11125,11130,147122
202005281250_,11130,11140,11120,11140,201842
202005281251_,11140,11145,11115,11120,257376
202005281252_,11115,11125,11080,11085,262504
202005281253_,11085,11090,11080,11085,157403
202005281254_,11085,11105,11080,11100,223016
202005281255_,11100,11105,11070,11070,298689
202005281256_,11075,11075,11030,11035,481916
202005281257_,11030,11040,11015,11015,337680
202005281258_,11015,11020,10995,11015,579333
202005281259_,11020,11055,11015,11050,375283
202005281300_,11050,11060,11035,11055,467682
202005281301_,11055,11080,11050,11060,432325
202005281302_,11055,11075,11055,11070,641347
202005281303_,11075,11080,11055,11055,359928
202005281304_,11055,11055,11030,11035,223471
202005281305_,11035,11060,11030,11050,156173
202005281306_,11045,11060,11035,11055,111413
202005281307_,11050,11065,11045,11060,153877
202005281308_,11060,11075,11060,11075,163462
202005281309_,11070,11080,11060,11080,199534
202005281310_,11080,11090,11070,11070,272204
202005281311_,11075,11080,11055,11060,250042
202005281312_,11060,11065,11050,11055,142276
202005281313_,11055,11055,11025,11025,323882
202005281314_,11025,11045,11025,11035,175965
202005281315_,11035,11050,11025,11035,202800
202005281316_,11035,11045,11005,11045,335840
202005281317_,11040,11050,11030,11040,157240
202005281318_,11040,11040,11015,11020,192672
202005281319_,11015,11020,10985,10990,354512
202005281320_,10985,11000,10980,10995,359873
202005281321_,10995,10995,10970,10975,337191
202005281322_,10980,10980,10950,10955,452199
202005281323_,10955,10960,10935,10940,561194
202005281324_,10935,10990,10935,10990,522535
202005281325_,10990,11000,10970,10985,399499
