Time,Open,High,Low,Close,Volume
202112200900,392.2,392.3,391.55,391.6,4405
202112200901,391.55,391.7,391.25,391.4,3785
202112200902,391.45,391.5,390.95,391.0,2349
202112200903,391.0,391.0,390.55,390.7,2469
202112200904,390.65,390.95,390.5,390.5,2227
202112200905,390.55,390.75,390.25,390.25,2196
202112200906,390.25,390.5,390.1,390.25,1934
202112200907,390.25,390.4,390.1,390.1,1776
202112200908,390.1,390.2,389.9,389.95,1801
202112200909,389.95,390.2,389.9,390.05,1249
202112200910,390.05,390.1,389.75,389.85,1762
202112200911,389.85,390.0,389.75,389.9,1012
202112200912,389.9,389.9,389.4,389.45,2534
202112200913,389.45,389.75,389.45,389.6,1427
202112200914,389.6,390.15,389.55,390.05,1439
202112200915,390.1,390.15,389.7,389.7,1753
202112200916,389.7,390.05,389.5,389.95,1753
202112200917,389.95,390.25,389.95,390.15,1459
202112200918,390.1,390.4,390.1,390.2,1688
202112200919,390.15,390.25,389.85,389.95,1356
202112200920,389.9,390.15,389.8,390.1,1070
202112200921,390.15,390.6,390.15,390.45,1865
202112200922,390.45,390.95,390.45,390.95,2182
202112200923,390.95,391.0,390.6,390.65,1679
202112200924,390.65,390.9,390.35,390.7,1607
202112200925,390.7,390.95,390.5,390.5,1217
202112200926,390.5,390.6,390.1,390.2,1360
202112200927,390.25,390.4,390.15,390.3,705
202112200928,390.3,390.35,389.9,390.0,1227
202112200929,390.0,390.2,389.9,389.95,888
202112200930,390.0,390.1,389.75,389.8,2003
202112200931,389.75,389.9,389.5,389.85,2436
202112200932,389.85,390.0,389.6,389.65,832
202112200933,389.65,390.0,389.65,389.8,809
202112200934,389.8,390.0,389.65,390.0,553
202112200935,390.0,390.3,389.95,389.95,1403
202112200936,389.95,390.0,389.75,389.8,572
202112200937,389.75,389.95,389.7,389.95,605
202112200938,389.9,389.95,389.75,389.9,328
202112200939,389.95,390.05,389.65,389.7,677
202112200940,389.7,389.95,389.6,389.8,724
202112200941,389.75,389.85,389.6,389.65,516
202112200942,389.65,390.1,389.65,390.05,1115
202112200943,390.05,390.4,390.05,390.2,878
202112200944,390.15,390.6,390.15,390.4,1200
202112200945,390.4,390.45,390.2,390.4,1088
202112200946,390.35,390.6,390.25,390.3,1452
202112200947,390.3,390.4,390.25,390.3,528
202112200948,390.3,390.45,390.3,390.3,477
202112200949,390.3,390.35,390.15,390.2,678
202112200950,390.2,390.6,390.15,390.4,681
202112200951,390.35,390.45,390.25,390.4,442
202112200952,390.45,390.65,390.45,390.65,616
202112200953,390.6,390.65,390.4,390.45,418
202112200954,390.45,390.75,390.45,390.65,676
202112200955,390.7,391.3,390.7,391.1,3252
202112200956,391.15,391.2,391.05,391.15,1140
202112200957,391.1,391.2,390.9,390.95,708
202112200958,390.9,391.05,390.75,390.8,875
202112200959,390.8,390.85,390.7,390.75,483
202112201000,390.75,390.85,390.55,390.8,1093
202112201001,390.8,390.95,390.55,390.6,647
202112201002,390.6,390.65,390.4,390.5,866
202112201003,390.45,390.5,390.3,390.4,710
202112201004,390.4,390.55,390.35,390.4,440
202112201005,390.4,390.4,390.1,390.2,1340
202112201006,390.2,390.25,389.85,389.95,1452
202112201007,389.95,390.1,389.9,389.9,622
202112201008,389.95,390.15,389.95,390.1,362
202112201009,390.15,390.3,390.15,390.15,670
202112201010,390.15,390.3,390.05,390.2,508
202112201011,390.2,390.55,390.2,390.55,676
202112201012,390.55,390.75,390.55,390.7,892
202112201013,390.75,390.85,390.6,390.8,460
202112201014,390.85,390.9,390.7,390.9,1071
202112201015,390.85,391.15,390.85,390.9,1040
202112201016,390.9,390.95,390.55,390.6,886
202112201017,390.6,390.65,390.4,390.5,705
202112201018,390.45,390.45,390.3,390.3,297
202112201019,390.35,390.35,390.2,390.25,501
202112201020,390.25,390.4,390.15,390.3,722
202112201021,390.35,390.55,390.35,390.4,422
202112201022,390.35,390.6,390.35,390.55,393
202112201023,390.5,390.5,390.1,390.1,838
202112201024,390.15,390.35,390.05,390.3,496
202112201025,390.3,390.4,390.25,390.35,211
202112201026,390.35,390.55,390.35,390.45,384
202112201027,390.45,390.55,390.4,390.55,305
202112201028,390.55,390.55,390.35,390.35,310
202112201029,390.35,390.35,390.2,390.25,399
202112201030,390.3,390.55,390.2,390.2,814
202112201031,390.2,390.3,390.1,390.3,541
202112201032,390.3,390.45,390.1,390.2,470
202112201033,390.2,390.35,390.2,390.35,225
202112201034,390.4,390.55,390.35,390.5,355
202112201035,390.5,390.75,390.35,390.6,563
202112201036,390.6,390.75,390.5,390.55,497
202112201037,390.55,390.85,390.5,390.85,587
202112201038,390.85,390.9,390.75,390.75,677
202112201039,390.75,390.75,390.55,390.6,376
202112201040,390.6,390.65,390.35,390.35,613
202112201041,390.3,390.4,390.15,390.15,772
202112201042,390.2,390.25,390.1,390.15,469
202112201043,390.15,390.3,390.15,390.25,248
202112201044,390.3,390.35,389.8,389.95,1211
202112201045,389.95,390.05,389.9,390.0,625
202112201046,390.0,390.0,389.85,389.95,339
202112201047,389.95,390.0,389.85,390.0,486
202112201048,390.0,390.15,390.0,390.15,387
202112201049,390.1,390.2,390.05,390.15,327
202112201050,390.1,390.1,389.85,389.85,485
202112201051,389.9,390.1,389.8,390.1,536
202112201052,390.05,390.1,389.9,389.95,392
202112201053,389.95,390.1,389.9,390.1,313
202112201054,390.1,390.15,389.9,389.9,470
202112201055,389.9,390.0,389.8,389.85,529
202112201056,389.8,389.8,389.5,389.55,2017
202112201057,389.5,389.5,389.2,389.25,1933
202112201058,389.2,389.35,389.05,389.1,1561
