Time,Open,High,Low,Close,Volume
202008060900,4370,4390,4370,4385,2860266
202008060901,4385,4390,4355,4365,1892177
202008060902,4360,4365,4350,4355,1403039
202008060903,4355,4365,4350,4360,1742481
202008060904,4355,4360,4340,4340,1530786
202008060905,4340,4345,4330,4340,1177811
202008060906,4340,4340,4330,4335,1741427
202008060907,4335,4340,4325,4330,1624831
202008060908,4330,4330,4320,4325,1169932
202008060909,4330,4340,4325,4335,793494
202008060910,4335,4340,4320,4325,956299
202008060911,4325,4325,4315,4325,1229131
202008060912,4325,4330,4315,4325,540935
202008060913,4330,4330,4320,4325,501762
202008060914,4320,4325,4315,4325,682359
202008060915,4325,4330,4320,4330,503553
202008060916,4325,4335,4325,4335,467244
202008060917,4335,4335,4325,4330,705358
202008060918,4330,4335,4325,4335,659050
202008060919,4335,4345,4330,4335,1233208
202008060920,4335,4340,4325,4325,643385
202008060921,4330,4330,4310,4315,1890191
202008060922,4320,4320,4310,4310,502381
202008060923,4315,4315,4310,4315,554984
202008060924,4315,4315,4310,4315,445584
202008060925,4315,4320,4305,4315,1578845
202008060926,4320,4320,4310,4315,351298
202008060927,4315,4315,4310,4310,199865
202008060928,4310,4315,4300,4300,1498176
202008060929,4300,4305,4295,4305,1681248
202008060930,4305,4305,4295,4300,1525372
202008060931,4300,4305,4290,4300,1588323
202008060932,4295,4300,4290,4300,709440
202008060933,4300,4305,4290,4295,1204336
202008060934,4295,4300,4290,4295,1113917
202008060935,4290,4300,4290,4300,351804
202008060936,4295,4305,4295,4305,1282586
202008060937,4300,4305,4290,4295,707906
202008060938,4295,4295,4280,4280,1321008
202008060939,4285,4290,4280,4285,837410
202008060940,4290,4290,4280,4285,582551
202008060941,4280,4285,4275,4275,1673273
202008060942,4280,4280,4270,4275,1360415
202008060943,4275,4275,4260,4270,1850168
202008060944,4270,4275,4265,4270,1172336
202008060945,4270,4275,4265,4275,639779
202008060946,4275,4275,4265,4270,883062
202008060947,4275,4275,4265,4265,528979
202008060948,4270,4270,4255,4260,1435569
202008060949,4260,4260,4240,4250,3221214
202008060950,4255,4265,4250,4260,2361713
202008060951,4260,4260,4250,4250,871128
202008060952,4260,4265,4250,4260,1146452
202008060953,4260,4265,4255,4265,370464
202008060954,4265,4265,4260,4260,451567
202008060955,4260,4265,4255,4255,497791
202008060956,4255,4260,4250,4260,93592
202008060957,4260,4265,4255,4260,272777
202008060958,4265,4265,4255,4260,535624
202008060959,4260,4265,4255,4255,1438875
202008061000,4255,4255,4240,4250,1087765
202008061001,4245,4255,4245,4250,774568
202008061002,4250,4260,4250,4255,438718
202008061003,4260,4260,4245,4245,561724
202008061004,4250,4255,4245,4250,259599
202008061005,4245,4255,4245,4255,237610
202008061006,4255,4255,4240,4245,1275348
202008061007,4245,4255,4240,4250,976245
202008061008,4250,4255,4245,4250,340696
202008061009,4255,4255,4245,4250,1387514
