Time,Open,High,Low,Close,Volume
201912190900,6235,6245,6230,6245,214417
201912190901,6240,6245,6235,6240,273917
201912190902,6240,6240,6230,6240,57773
201912190903,6235,6240,6225,6230,263711
201912190904,6225,6230,6220,6220,221264
201912190905,6220,6220,6205,6215,396699
201912190906,6210,6220,6210,6220,179841
201912190907,6220,6220,6205,6215,121126
201912190908,6215,6230,6215,6230,169029
201912190909,6230,6230,6215,6215,207024
201912190910,6215,6225,6215,6220,140082
201912190911,6215,6225,6215,6220,45768
201912190912,6225,6230,6220,6230,110045
201912190913,6230,6235,6225,6235,60667
201912190914,6235,6235,6225,6230,39417
201912190915,6225,6235,6225,6230,11015
201912190916,6230,6235,6225,6235,49330
201912190917,6235,6235,6230,6235,7966
201912190918,6235,6235,6230,6230,27318
201912190919,6230,6235,6220,6220,50928
201912190920,6225,6225,6220,6225,23013
201912190921,6225,6240,6220,6235,68568
201912190922,6235,6240,6230,6235,25645
201912190923,6235,6240,6230,6240,38374
201912190924,6240,6240,6235,6235,10006
201912190925,6240,6240,6235,6235,21941
201912190926,6235,6240,6230,6240,97686
201912190927,6240,6245,6240,6245,42631
201912190928,6245,6250,6245,6245,40298
201912190929,6245,6245,6240,6245,18778
201912190930,6245,6245,6230,6235,29710
201912190931,6235,6240,6230,6230,87491
201912190932,6230,6240,6225,6235,27872
201912190933,6235,6245,6235,6245,30971
201912190934,6240,6250,6240,6245,18253
201912190935,6250,6250,6245,6245,54348
201912190936,6245,6250,6245,6250,29464
201912190937,6250,6250,6245,6245,6422
201912190938,6245,6250,6245,6245,22481
201912190939,6245,6245,6235,6235,24162
201912190940,6235,6240,6235,6235,4700
201912190941,6235,6235,6225,6230,48106
201912190942,6230,6235,6225,6235,35028
201912190943,6235,6235,6230,6230,47504
201912190944,6230,6230,6225,6230,36101
201912190945,6230,6235,6225,6230,27176
201912190946,6230,6230,6230,6230,27981
201912190947,6230,6230,6225,6230,16215
201912190948,6230,6235,6230,6235,29033
201912190949,6235,6240,6230,6240,75143
201912190950,6240,6240,6235,6235,53874
201912190951,6240,6245,6235,6240,13975
201912190952,6240,6240,6235,6235,28965
201912190953,6235,6235,6235,6235,2922
201912190954,6235,6240,6235,6235,13598
201912190955,6240,6245,6240,6240,24837
201912190956,6240,6240,6235,6240,13288
201912190957,6235,6245,6235,6245,7424
201912190958,6240,6245,6240,6245,14505
201912190959,6245,6245,6245,6245,2616
