Time,Open,High,Low,Close,Volume
20201127090015,3215,3215,3215,3215,681089
20201127090015,3215,3215,3215,3215,4
20201127090015,3220,3220,3220,3220,120
20201127090015,3220,3220,3220,3220,10
20201127090015,3215,3215,3215,3215,100
20201127090015,3215,3215,3215,3215,6
20201127090015,3220,3220,3220,3220,10
20201127090015,3220,3220,3220,3220,154
20201127090015,3220,3220,3220,3220,309
20201127090017,3220,3220,3220,3220,61400
20201127090017,3220,3220,3220,3220,61400
20201127090017,3220,3220,3220,3220,67383
20201127090017,3220,3220,3220,3220,500
20201127090017,3220,3220,3220,3220,61400
20201127090018,3220,3220,3220,3220,34200
20201127090018,3220,3220,3220,3220,27500
20201127090018,3220,3220,3220,3220,3000
20201127090018,3220,3220,3220,3220,23
20201127090019,3220,3220,3220,3220,500
20201127090019,3215,3215,3215,3215,49
20201127090019,3220,3220,3220,3220,61400
20201127090019,3220,3220,3220,3220,34700
20201127090020,3220,3220,3220,3220,50000
20201127090020,3220,3220,3220,3220,10
20201127090021,3220,3220,3220,3220,5000
20201127090021,3220,3220,3220,3220,7643
20201127090022,3220,3220,3220,3220,75
20201127090022,3215,3215,3215,3215,3000
20201127090023,3220,3220,3220,3220,10
20201127090024,3220,3220,3220,3220,12
20201127090025,3220,3220,3220,3220,400
20201127090026,3220,3220,3220,3220,1000
20201127090027,3220,3220,3220,3220,3
20201127090027,3215,3215,3215,3215,102
20201127090027,3220,3220,3220,3220,276
20201127090027,3220,3220,3220,3220,10000
20201127090028,3220,3220,3220,3220,100
20201127090028,3220,3220,3220,3220,1007
20201127090029,3220,3220,3220,3220,10
20201127090029,3220,3220,3220,3220,300
20201127090029,3220,3220,3220,3220,10
20201127090029,3220,3220,3220,3220,12
20201127090030,3220,3220,3220,3220,3000
20201127090030,3220,3220,3220,3220,5000
20201127090031,3220,3220,3220,3220,38774
20201127090031,3220,3220,3220,3220,64068
20201127090031,3220,3220,3220,3220,31422
20201127090032,3220,3220,3220,3220,593
20201127090032,3220,3220,3220,3220,18868
20201127090032,3220,3220,3220,3220,999
20201127090033,3220,3220,3220,3220,23004
20201127090033,3225,3225,3225,3225,1
20201127090033,3220,3220,3220,3220,1000
20201127090033,3220,3220,3220,3220,500
20201127090033,3225,3225,3225,3225,10
20201127090033,3225,3225,3225,3225,12
20201127090034,3220,3220,3220,3220,1000
20201127090034,3220,3220,3220,3220,2000
20201127090035,3220,3220,3220,3220,5
20201127090035,3225,3225,3225,3225,98
20201127090036,3220,3220,3220,3220,100
20201127090036,3220,3220,3220,3220,364
20201127090037,3220,3220,3220,3220,50000
20201127090037,3220,3220,3220,3220,255
20201127090037,3220,3220,3220,3220,5807
20201127090037,3225,3225,3225,3225,10
20201127090037,3220,3220,3220,3220,162
20201127090038,3220,3220,3220,3220,110
20201127090038,3225,3225,3225,3225,3750
20201127090038,3225,3225,3225,3225,36
20201127090039,3220,3220,3220,3220,5000
