Time,Open,High,Low,Close,Volume
202102240900,26595,26690,26585,26675,385424
202102240901,26665,26730,26655,26690,197613
202102240902,26690,26695,26580,26655,279770
202102240903,26645,26645,26530,26555,244643
202102240904,26555,26565,26420,26440,246143
202102240905,26445,26485,26365,26375,166289
202102240906,26380,26380,26290,26325,319271
202102240907,26320,26380,26295,26330,157122
202102240908,26325,26420,26305,26400,153823
202102240909,26390,26450,26370,26390,169688
202102240910,26385,26455,26345,26440,167804
202102240911,26445,26475,26400,26455,103836
202102240912,26460,26460,26300,26310,234982
202102240913,26310,26375,26310,26330,85197
202102240914,26330,26360,26260,26280,247873
202102240915,26285,26400,26255,26385,112512
202102240916,26385,26390,26330,26335,108718
202102240917,26350,26405,26350,26395,112805
202102240918,26385,26425,26295,26410,172803
202102240919,26415,26455,26400,26440,138646
202102240920,26430,26435,26370,26395,209505
202102240921,26390,26420,26315,26320,109193
202102240922,26325,26345,26285,26310,168881
202102240923,26310,26340,26290,26315,124032
202102240924,26320,26420,26315,26345,138825
202102240925,26345,26345,26275,26290,229794
202102240926,26285,26360,26275,26355,120499
202102240927,26355,26365,26280,26290,72138
202102240928,26285,26315,26280,26290,46152
202102240929,26290,26315,26250,26265,247290
202102240930,26255,26320,26215,26300,154344
202102240931,26300,26340,26265,26335,118407
202102240932,26335,26460,26335,26420,361949
202102240933,26430,26480,26410,26470,182404
202102240934,26470,26485,26445,26465,119688
202102240935,26470,26510,26450,26500,167496
202102240936,26495,26545,26470,26545,149740
202102240937,26545,26630,26545,26620,247805
202102240938,26620,26640,26555,26565,209913
202102240939,26560,26630,26555,26625,181296
202102240940,26625,26650,26600,26645,170265
202102240941,26640,26700,26615,26695,249192
202102240942,26695,26710,26655,26655,120585
202102240943,26650,26665,26620,26645,115004
202102240944,26640,26685,26630,26665,101323
202102240945,26660,26705,26645,26675,151688
202102240946,26670,26685,26595,26610,117907
202102240947,26610,26635,26575,26615,89774
202102240948,26610,26610,26535,26555,133777
202102240949,26555,26595,26550,26555,97931
202102240950,26550,26550,26505,26510,119903
202102240951,26510,26520,26440,26455,214780
202102240952,26455,26470,26440,26440,92523
202102240953,26440,26475,26415,26425,67247
202102240954,26430,26455,26405,26450,56730
202102240955,26450,26475,26415,26470,73382
202102240956,26470,26480,26435,26460,95075
202102240957,26465,26465,26405,26415,61591
202102240958,26415,26460,26410,26450,40495
202102240959,26440,26445,26390,26420,81598
202102241000,26425,26505,26400,26500,149851
202102241001,26495,26595,26490,26590,220185
202102241002,26590,26630,26585,26610,150573
202102241003,26605,26630,26550,26580,79241
202102241004,26585,26610,26570,26610,76001
202102241005,26610,26630,26570,26625,77278
202102241006,26630,26735,26625,26715,345954
202102241007,26725,26800,26725,26775,288271
202102241008,26775,26790,26755,26780,148947
202102241009,26775,26785,26745,26770,90154
202102241010,26775,26855,26775,26845,230044
202102241011,26840,26860,26815,26840,133672
202102241012,26835,26855,26810,26840,69897
202102241013,26840,26860,26785,26805,178823
202102241014,26810,26815,26760,26780,181559
202102241015,26780,26790,26720,26745,123452
202102241016,26750,26760,26730,26760,63620
202102241017,26750,26750,26710,26745,63531
202102241018,26750,26910,26745,26905,227714
202102241019,26900,26975,26895,26960,303329
202102241020,26955,26975,26875,26905,138125
202102241021,26910,26935,26890,26915,120293
202102241022,26920,26960,26915,26930,192039
202102241023,26920,26955,26875,26920,145420
202102241024,26920,27000,26920,26955,270516
202102241025,26955,26965,26875,26895,152815
202102241026,26890,26895,26865,26880,173913
202102241027,26875,26875,26810,26820,170157
202102241028,26830,26865,26815,26825,74179
202102241029,26825,26840,26790,26810,61407
202102241030,26815,26870,26810,26825,93242
202102241031,26820,26825,26725,26740,127784
202102241032,26740,26805,26740,26790,70253
202102241033,26785,26820,26755,26820,49103
202102241034,26820,26840,26775,26820,51723
202102241035,26830,26875,26710,26720,186099
202102241036,26720,26790,26710,26790,100650
202102241037,26775,26835,26725,26825,67739
202102241038,26830,26830,26745,26785,79879
202102241039,26785,26830,26780,26820,74276
202102241040,26805,26820,26780,26790,81792
202102241041,26790,26885,26775,26885,157134
202102241042,26885,26995,26880,26950,205201
202102241043,26960,26985,26920,26980,157450
202102241044,26975,26985,26930,26960,89732
202102241045,26960,27025,26955,27015,358445
202102241046,27015,27040,26965,26975,122462
202102241047,26980,26980,26925,26945,94261
202102241048,26945,26980,26920,26970,107641
202102241049,26970,27020,26970,27005,160354
202102241050,27000,27015,26970,27005,68484
202102241051,27010,27035,26990,27005,154372
202102241052,27010,27015,26935,26945,136665
202102241053,26945,26965,26925,26925,66036
202102241054,26925,26945,26870,26875,84416
202102241055,26875,26920,26860,26870,72309
202102241056,26865,26885,26830,26855,90416
202102241057,26850,26895,26840,26865,82649
202102241058,26870,26925,26850,26915,81785
202102241059,26915,26935,26895,26925,42176
202102241100,26920,27020,26880,27005,182998
202102241101,27010,27040,26980,27005,185939
202102241102,27005,27010,26855,26865,146534
202102241103,26865,26890,26840,26875,141783
202102241104,26875,26925,26845,26855,92135
202102241105,26850,26905,26850,26895,37226
202102241106,26895,26910,26870,26890,29451
202102241107,26880,26935,26870,26915,66983
202102241108,26910,26965,26895,26950,109245
202102241109,26950,26965,26890,26900,48114
202102241110,26895,26910,26865,26890,36750
202102241111,26890,26965,26890,26965,153579
202102241112,26960,26990,26940,26945,75387
202102241113,26940,26970,26930,26940,36997
202102241114,26935,26945,26905,26915,35388
