Time,Open,High,Low,Close,Volume
202109030900,417.4,417.95,417.0,417.1,5800
202109030901,417.05,417.5,416.6,416.7,3094
202109030902,416.7,416.75,416.4,416.4,3303
202109030903,416.4,417.05,416.3,416.85,2218
202109030904,416.9,417.2,416.75,416.9,2503
202109030905,416.9,417.3,416.85,417.2,1568
202109030906,417.2,417.7,417.2,417.7,2112
202109030907,417.65,417.75,417.2,417.3,2028
202109030908,417.3,417.55,417.25,417.3,1039
202109030909,417.25,418.05,417.25,418.0,2295
202109030910,418.0,418.3,417.85,418.0,2699
202109030911,418.0,418.4,418.0,418.3,1480
202109030912,418.35,418.8,418.3,418.75,2407
202109030913,418.8,418.95,418.55,418.9,2536
202109030914,418.9,418.95,418.65,418.75,1558
202109030915,418.75,418.85,418.25,418.25,1617
202109030916,418.3,418.65,418.25,418.5,1652
202109030917,418.5,418.7,418.3,418.65,890
202109030918,418.65,418.7,418.35,418.65,850
202109030919,418.65,418.9,418.45,418.85,1639
202109030920,418.8,418.85,418.5,418.75,1315
202109030921,418.8,418.9,418.55,418.6,1472
202109030922,418.65,418.9,418.6,418.75,980
202109030923,418.75,418.8,418.3,418.4,1217
202109030924,418.4,418.65,418.3,418.55,1302
202109030925,418.5,418.65,418.35,418.35,518
202109030926,418.4,418.8,418.35,418.6,788
202109030927,418.6,418.85,418.6,418.85,1021
202109030928,418.85,418.85,418.65,418.65,1194
202109030929,418.65,418.8,418.55,418.55,676
202109030930,418.55,418.65,418.2,418.25,1457
202109030931,418.25,418.25,417.9,418.0,1978
202109030932,418.0,418.15,417.95,418.0,863
202109030933,417.95,418.6,417.9,418.55,1717
202109030934,418.55,418.75,418.45,418.75,1392
202109030935,418.75,418.8,418.4,418.5,1096
202109030936,418.5,418.65,418.35,418.45,985
202109030937,418.4,418.7,418.35,418.65,647
202109030938,418.65,418.65,418.45,418.55,422
202109030939,418.55,418.6,418.4,418.5,390
202109030940,418.5,418.6,418.25,418.45,757
202109030941,418.45,419.15,418.45,419.1,2540
202109030942,419.1,419.25,418.85,419.0,1982
202109030943,419.0,419.2,418.9,419.0,1029
202109030944,419.05,419.15,418.95,419.15,556
202109030945,419.15,419.15,418.95,419.1,980
202109030946,419.15,419.5,419.05,419.4,1879
202109030947,419.45,419.75,419.4,419.6,1594
202109030948,419.65,419.95,419.55,419.75,1715
202109030949,419.75,419.85,419.65,419.8,1100
202109030950,419.8,419.95,419.7,419.7,1290
202109030951,419.7,419.75,419.5,419.55,1371
202109030952,419.55,419.6,419.45,419.6,826
202109030953,419.6,419.6,419.4,419.4,522
202109030954,419.4,419.5,419.3,419.45,922
202109030955,419.45,419.55,419.25,419.3,555
202109030956,419.25,419.3,419.0,419.05,1004
202109030957,419.0,419.2,418.9,419.2,1346
202109030958,419.2,419.35,419.15,419.25,910
202109030959,419.25,419.25,418.95,419.0,751
202109031000,419.0,419.25,418.9,419.05,854
202109031001,419.05,419.05,418.55,418.6,2038
202109031002,418.6,418.8,418.5,418.75,1404
202109031003,418.8,418.95,418.65,418.85,706
202109031004,418.8,418.9,418.45,418.45,748
202109031005,418.45,418.45,418.25,418.3,1787
202109031006,418.25,418.5,418.15,418.4,1563
202109031007,418.4,418.4,418.05,418.25,930
202109031008,418.25,418.25,417.95,418.05,984
202109031009,418.05,418.05,417.85,418.0,1151
202109031010,418.0,418.3,418.0,418.15,866
202109031011,418.15,418.25,418.1,418.25,405
202109031012,418.25,418.6,418.1,418.55,1136
202109031013,418.55,418.6,418.35,418.4,895
202109031014,418.45,418.45,418.05,418.05,1117
202109031015,418.05,418.15,417.9,418.15,1312
202109031016,418.15,418.2,418.0,418.15,811
202109031017,418.1,418.2,417.95,418.1,558
202109031018,418.05,418.2,418.0,418.15,422
202109031019,418.15,418.3,418.1,418.3,713
202109031020,418.3,418.3,418.0,418.2,529
202109031021,418.2,418.2,417.85,417.9,764
202109031022,417.9,418.3,417.85,418.3,721
202109031023,418.3,418.3,418.1,418.1,317
202109031024,418.1,418.3,418.0,418.3,510
202109031025,418.25,418.4,418.2,418.3,636
202109031026,418.3,418.45,418.2,418.25,643
202109031027,418.3,418.75,418.3,418.65,1462
202109031028,418.65,418.75,418.55,418.7,1209
202109031029,418.7,418.95,418.7,418.9,1241
202109031030,418.9,418.95,418.65,418.75,1168
202109031031,418.75,418.75,418.5,418.6,1122
202109031032,418.65,418.65,418.3,418.45,910
202109031033,418.4,418.4,418.05,418.1,1185
202109031034,418.1,418.5,418.05,418.4,1020
202109031035,418.4,418.4,418.25,418.35,696
202109031036,418.35,418.35,418.05,418.05,1001
202109031037,418.05,418.25,417.95,418.2,981
202109031038,418.2,418.2,417.7,417.75,960
202109031039,417.8,418.0,417.6,417.85,1329
202109031040,417.8,417.8,417.6,417.7,883
202109031041,417.7,417.7,417.3,417.45,1907
202109031042,417.4,417.55,417.35,417.45,566
202109031043,417.45,417.55,417.4,417.5,730
202109031044,417.5,417.85,417.45,417.8,1160
202109031045,417.75,417.95,417.65,417.8,1057
202109031046,417.8,417.95,417.7,417.9,572
202109031047,417.9,417.9,417.65,417.8,496
202109031048,417.75,417.95,417.7,417.9,535
202109031049,417.9,417.9,417.75,417.85,749
202109031050,417.85,417.85,417.5,417.6,804
202109031051,417.55,417.85,417.55,417.65,643
202109031052,417.7,417.8,417.6,417.65,518
202109031053,417.7,418.0,417.7,417.9,453
